Pos,Player,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1,Lasith Malinga,98,98,381.3,2546,143,May-13,17.8,6.67,16,4,1
2,Amit Mishra,112,112,401,2918,124,May-17,23.53,7.27,19.4,3,1
3,Dwayne Bravo,106,103,336.2,2754,122,Apr-22,22.57,8.18,16.54,2,0
4,Piyush Chawla,123,122,407.1,3082,120,Apr-17,25.68,7.56,20.35,2,0
5,Harbhajan Singh,125,123,445.3,3119,119,May-18,26.21,7,22.46,1,1
6,Vinay Kumar,102,101,346.4,2870,101,Apr-40,28.41,8.27,20.59,1,0
7,Ravichandran Ashwin,111,108,381.4,2500,100,Apr-34,25,6.55,22.9,1,0
8,Ashish Nehra,82,82,296.5,2298,98,04-Oct,23.44,7.74,18.17,1,0
9,Dale Steyn,90,90,343,2306,92,03-Aug,25.06,6.72,22.36,0,0
10,Zaheer Khan,89,88,326.3,2469,92,Apr-17,26.83,7.56,21.29,1,0
11,RP Singh,82,82,295.5,2338,90,Apr-22,25.97,7.9,19.72,2,0
12,Pragyan Ojha,92,90,316.3,2332,89,03-Nov,26.2,7.36,21.33,0,0
13,Sunil Narine,66,66,262,1619,85,May-19,19.04,6.17,18.49,6,1
14,Bhuvneshwar Kumar,76,76,277.5,1970,85,Apr-14,23.17,7.09,19.61,2,0
15,Albie Morkel,91,87,287.1,2359,85,Apr-32,27.75,8.21,20.27,1,0
16,Praveen Kumar,113,113,404.1,3100,84,Mar-18,36.9,7.67,28.86,0,0
17,Shane Watson,94,86,283.2,2186,81,Apr-29,26.98,7.71,20.98,1,0
18,Irfan Pathan,102,100,338.3,2623,80,Mar-24,32.78,7.74,25.38,0,0
19,Ravindra Jadeja,126,100,282.5,2157,77,May-16,28.01,7.62,22.03,3,1
20,Morne Morkel,70,70,271.3,2089,77,Apr-20,27.12,7.69,21.15,1,0
21,Lakshmipathy Balaji,73,73,251.5,2029,76,May-24,26.69,8.05,19.88,3,1
22,Umesh Yadav,80,79,273.5,2297,74,Apr-24,31.04,8.38,22.2,1,0
23,Munaf Patel,61,61,218.5,1641,73,May-21,22.47,7.49,17.98,2,1
24,Dhawal Kulkarni,66,66,217.1,1708,73,Apr-14,23.39,7.86,17.84,1,0
25,Mohit Sharma,61,61,210,1666,70,Apr-14,23.8,7.93,18,1,0
26,Rajat Bhatia,92,88,265.4,1965,69,Apr-15,28.47,7.39,23.1,1,0
27,Ashok Dinda,75,72,241.4,1952,67,Apr-18,29.13,8.07,21.64,1,0
28,Siddharth Trivedi,76,75,251,1904,65,Apr-25,29.29,7.58,23.16,1,0
29,Jacques Kallis,98,89,290.2,2293,65,Mar-13,35.27,7.89,26.8,0,0
30,Muttiah Muralitharan,66,66,254,1696,63,03-Nov,26.92,6.67,24.19,0,0
31,Ishant Sharma,70,70,254.5,2052,59,05-Dec,34.77,8.05,25.91,0,1
32,Shane Warne,55,54,199,1447,57,Apr-21,25.38,7.27,20.94,1,0
33,Yuzvendra Chahal,43,42,155,1236,56,Apr-25,22.07,7.97,16.6,1,0
34,Kieron Pollard,106,80,198,1740,56,Apr-44,31.07,8.78,21.21,1,0
35,Sandeep Sharma,43,43,156.1,1189,54,Apr-25,22.01,7.61,17.35,1,0
36,James Faulkner,52,52,178.1,1520,53,May-16,28.67,8.53,20.16,0,2
37,Mitchell Johnson,43,43,164.2,1345,52,Mar-27,25.86,8.18,18.96,0,0
38,Shadab Jakati,57,55,175.5,1398,47,Apr-22,29.74,7.95,22.44,2,0
39,Anil Kumble,42,42,160.5,1058,45,05-May,23.51,6.57,21.44,2,1
40,Ryan Harris,37,37,138.4,1047,45,Apr-34,23.26,7.55,18.48,1,0
41,Shakib Al Hasan,42,41,150.3,1070,43,Mar-17,24.88,7.1,21,0,0
42,Axar Patel,45,45,160.3,1185,43,Apr-21,27.55,7.38,22.39,1,0
43,Yusuf Pathan,134,76,184.2,1351,41,03-Nov,32.95,7.32,26.97,0,0
44,Chris Morris,39,39,136,1020,41,Apr-23,24.87,7.5,19.9,1,0
45,Rahul Sharma,44,44,154.4,1086,40,Mar-13,27.15,7.02,23.2,0,0
46,Sreenath Aravind,28,28,96.1,764,40,Apr-14,19.1,7.94,14.42,2,0
47,Shanthakumaran Sreesanth,44,44,146.4,1194,40,Mar-29,29.85,8.14,22,0,0
48,Parvinder Awana,33,33,124.3,1029,39,Apr-34,26.38,8.26,19.15,1,0
49,Iqbal Abdulla,47,46,148.2,1054,38,Mar-24,27.73,7.1,23.42,0,0
50,Doug Bollinger,27,27,96,693,37,Apr-13,18.72,7.21,15.56,1,0
51,Moises Henriques,45,43,124.2,996,37,Mar-16,26.91,8.01,20.16,0,0
52,Manpreet Gony,43,43,146,1255,37,Mar-31,33.91,8.59,23.67,0,0
53,Karn Sharma,46,46,141.4,1109,36,Apr-38,30.8,7.82,23.61,1,0
54,Yuvraj Singh,108,69,140.5,1032,35,Apr-29,29.48,7.32,24.14,2,0
55,Mitchell McClenaghan,26,26,100.2,822,35,Apr-21,23.48,8.19,17.2,1,0
56,Mitchell Starc,27,26,96.4,693,34,Apr-15,20.38,7.16,17.05,1,0
57,Kevon Cooper,25,25,96,757,33,Apr-26,22.93,7.88,17.45,1,0
58,Jaydev Unadkat,35,34,117.3,986,32,May-25,30.81,8.39,22.03,0,1
59,Shahbaz Nadeem,48,46,168,1200,31,Mar-16,38.7,7.14,32.51,0,0
60,Murali Kartik,56,55,191.3,1388,31,Mar-17,44.77,7.24,37.06,0,0
61,Harshal Patel,35,33,109.5,928,31,02-Dec,29.93,8.44,21.25,0,0
62,Andre Russell,34,34,105.1,896,31,Apr-20,28.9,8.51,20.35,1,0
63,Thisara Perera,37,36,116.2,1016,31,Mar-20,32.77,8.73,22.51,0,0
64,Varun Aaron,36,34,120.4,1056,31,Mar-16,34.06,8.75,23.35,0,0
65,Pradeep Sangwan,33,33,113.4,975,30,Mar-18,32.5,8.57,22.73,0,0
66,Azhar Mahmood,23,23,89.3,700,29,Mar-20,24.13,7.82,18.51,0,0
67,Imran Tahir,20,20,72.2,623,29,Apr-28,21.48,8.61,14.96,1,0
68,Ajit Agarkar,42,42,130.2,1151,29,Mar-25,39.68,8.83,26.96,0,0
69,Daniel Vettori,34,34,129.3,879,28,Mar-15,31.39,6.78,27.75,0,0
70,Dirk Nannes,29,29,107.4,785,28,Mar-27,28.03,7.29,23.07,0,0
71,Pravin Tambe,33,33,110,853,28,Apr-20,30.46,7.75,23.57,1,0
72,Amit Singh,23,23,78.5,620,28,Apr-19,22.14,7.86,16.89,1,0
73,MF Maharoof,20,20,70,520,27,Mar-34,19.25,7.42,15.55,0,0
74,Angelo Mathews,46,42,126.5,1023,27,Apr-19,37.88,8.06,28.18,1,0
75,Wayne Parnell,26,26,95.2,701,26,Mar-27,26.96,7.35,22,0,0
76,Jasprit Bumrah,31,31,113.4,961,26,Mar-13,36.96,8.45,26.23,0,0
77,Johan Botha,34,34,115.4,800,25,03-Jun,32,6.91,27.76,0,0
78,Brett Lee,38,38,145.5,1095,25,Mar-15,43.8,7.5,35,0,0
79,Harmeet Singh Bansal,27,26,84.3,674,25,Mar-24,26.96,7.97,20.28,0,0
80,Suresh Raina,147,62,138.2,1010,24,2/0,42.08,7.3,34.58,0,0
81,JP Duminy,77,47,110,798,23,Apr-17,34.69,7.25,28.69,1,0
82,Brad Hogg,21,21,76.2,570,23,Apr-29,24.78,7.46,19.91,1,0
83,Shaun Tait,21,21,78.5,640,23,Mar-13,27.82,8.11,20.56,0,0
84,Sohail Tanvir,11,11,41.1,266,22,Jun-14,12.09,6.46,11.22,1,1
85,Ben Hilfenhaus,17,17,62,479,22,Mar-27,21.77,7.72,16.9,0,0
86,Roelof van der Merwe,21,21,73.5,498,21,Mar-20,23.71,6.74,21.09,0,0
87,Nathan Coulter-Nile,18,17,65.3,491,21,Apr-20,23.38,7.49,18.71,1,0
88,Yo Mahesh,18,17,56.3,499,21,Apr-36,23.76,8.83,16.14,1,0
89,Andrew Symonds,39,30,87.5,674,20,Mar-21,33.7,7.67,26.35,0,0
90,Mitchell Marsh,20,18,52.3,414,20,Apr-25,20.7,7.88,15.75,1,0
91,Dimitri Mascarenhas,13,13,51.2,356,19,May-25,18.73,6.93,16.21,0,1
92,Dan Christian,23,23,78.4,638,19,Feb-13,33.57,8.11,24.84,0,0
93,Tim Southee,26,26,100,818,19,Mar-24,43.05,8.18,31.57,0,0
94,Chaminda Vaas,13,13,47,355,18,Mar-21,19.72,7.55,15.66,0,0
95,Ishwar Pandey,25,24,77,591,18,Feb-23,32.83,7.67,25.66,0,0
96,Rishi Dhawan,26,25,81.2,640,18,Feb-14,35.55,7.86,27.11,0,0
97,Chris Gayle,92,37,91.3,724,18,Mar-21,40.22,7.91,30.5,0,0
98,Kane Richardson,14,14,52.5,443,18,Mar-13,24.61,8.38,17.61,0,0
99,Mohammed Shami,31,30,95.1,843,18,Feb-20,46.83,8.85,31.72,0,0
100,Mustafizur Rahman,16,16,61,421,17,Mar-16,24.76,6.9,21.52,0,0
101,Stuart Binny,72,53,84,631,17,Feb-14,37.11,7.51,29.64,0,0
102,Dilhara Fernando,10,10,39,298,17,Apr-18,17.52,7.64,13.76,1,0
103,Brad Hodge,66,20,39,303,17,Apr-13,17.82,7.76,13.76,1,0
104,Dwayne Smith,64,23,48,419,17,04-Aug,24.64,8.72,16.94,1,0
105,Anureet Singh,19,18,62.4,555,17,Mar-23,32.64,8.85,22.11,0,0
106,Ashish Reddy,31,19,40.4,364,17,Mar-25,21.41,8.95,14.35,0,0
107,David Wiese,15,14,46.2,402,16,Apr-33,25.12,8.67,17.37,1,0
108,Rohit Sharma,142,30,55.2,440,15,04-Jun,29.33,7.95,22.13,1,0
109,Laxmi Ratan Shukla,48,27,52.2,447,15,03-Jun,29.8,8.54,20.93,0,0
110,YA Abdulla,11,11,34.5,307,15,Apr-31,20.46,8.81,13.93,2,0
111,Ravi Rampaul,12,12,43.4,298,14,Mar-31,21.28,6.82,18.71,0,0
112,Alfonso Thomas,15,15,52.3,406,14,Mar-22,29,7.73,22.5,0,0
113,Bipul Sharma,26,21,54.4,443,14,Feb-13,31.64,8.1,23.42,0,0
114,Pawan Negi,29,24,72,591,14,Apr-18,42.21,8.2,30.85,1,0
115,Barinder Sran,15,15,52.3,448,14,Mar-28,32,8.53,22.5,0,0
116,James Hopes,21,20,60,548,14,02-Feb,39.14,9.13,25.71,0,0
117,Shalabh Srivastava,14,14,47,441,14,Feb-20,31.5,9.38,20.14,0,0
118,Charl Langeveldt,7,7,26,187,13,Mar-15,14.38,7.19,12,0,0
119,Ramesh Powar,27,26,71,527,13,02-Nov,40.53,7.42,32.76,0,0
120,Sanath Jayasuriya,30,21,49,390,13,Mar-14,30,7.95,22.61,0,0
121,Glenn McGrath,14,14,54,357,12,Apr-29,29.75,6.61,27,1,0
122,Adam Zampa,5,5,17,115,12,Jun-19,9.58,6.76,8.5,0,1
123,Ankit Sharma,20,19,59.1,423,12,Feb-20,35.25,7.14,29.58,0,0
124,Bhargav Bhatt,17,15,49.2,397,12,Apr-22,33.08,8.04,24.66,1,0
125,Umar Gul,6,6,22.3,184,12,Apr-23,15.33,8.17,11.25,1,0
126,VRV Singh,19,18,60,542,12,Mar-29,45.16,9.03,30,0,0
127,Ryan McLaren,18,18,59,542,12,Feb-28,45.16,9.18,29.5,0,0
128,Karanveer Singh,9,9,34,321,12,Apr-54,26.75,9.44,17,1,0
129,Joginder Sharma,16,15,42.4,419,12,Feb-27,34.91,9.82,21.33,0,0
130,Ajit Chandila,12,12,39,242,11,Apr-13,22,6.2,21.27,1,0
131,Shaun Pollock,13,13,46,301,11,03-Dec,27.36,6.54,25.09,0,0
132,Andrew McDonald,11,10,31,261,11,Feb-25,23.72,8.41,16.9,0,0
133,Ravi Bopara,24,14,34.2,292,11,Mar-31,26.54,8.5,18.72,0,0
134,Darren Sammy,22,19,39.2,350,11,Apr-22,31.81,8.89,21.45,1,0
135,Chris Jordan,9,9,28,258,11,04-Nov,23.45,9.21,15.27,1,0
136,Pankaj Singh,20,17,50,468,11,Feb-18,42.54,9.36,27.27,0,0
137,Sourav Ganguly,59,20,46,363,10,Feb-21,36.3,7.89,27.6,0,0
138,Trent Boult,8,8,32,275,10,Mar-19,27.5,8.59,19.2,0,0
139,Veer Pratap Singh,9,9,34,296,10,Feb-31,29.6,8.7,20.4,0,0
140,Jagadeesha Suchith,14,13,41,368,10,Feb-14,36.8,8.97,24.6,0,0
141,Sachithra Senanayake,8,8,32,209,9,Feb-26,23.22,6.53,21.33,0,0
142,Ali Murtaza,12,12,44,313,9,Mar-15,34.77,7.11,29.33,0,0
143,Shane Bond,8,8,31,224,9,Feb-24,24.88,7.22,20.66,0,0
144,Shahid Afridi,10,10,30,225,9,Mar-28,25,7.5,20,0,0
145,Marlon Samuels,10,9,32.4,250,9,Mar-39,27.77,7.65,21.77,0,0
146,KP Appanna,14,13,36,286,9,Apr-19,31.77,7.94,24,1,0
147,Juan Theron,10,10,36,293,9,Feb-17,32.55,8.13,24,0,0
148,Kamran Khan,9,9,26.4,224,9,Mar-18,24.88,8.4,17.77,0,0
149,Abhishek Nayar,60,19,38.1,322,9,Mar-13,35.77,8.43,25.44,0,0
150,James Franklin,20,15,25.1,220,9,Feb-18,24.44,8.74,16.77,0,0
151,Jacob Oram,18,13,37.3,336,9,Mar-32,37.33,8.96,25,0,0
152,Beuran Hendricks,7,7,25,235,9,Mar-36,26.11,9.4,16.66,0,0
153,Ajantha Mendis,10,10,40,285,8,Feb-19,35.62,7.12,30,0,0
154,T Thushara,6,6,22.3,161,8,Feb-16,20.12,7.15,16.87,0,0
155,Scott Styris,12,11,36,276,8,Mar-32,34.5,7.66,27,0,0
156,Jesse Ryder,29,16,39.2,303,8,Feb-14,37.87,7.7,29.5,0,0
157,Ankeet Chavan,13,13,41.2,326,8,Feb-23,40.75,7.88,31,0,0
158,Anand Rajan,8,8,24.5,201,8,Mar-27,25.12,8.09,18.62,0,0
159,Marcus Stoinis,7,7,23,194,8,Apr-15,24.25,8.43,17.25,1,0
160,Syed Mohammad,11,11,32,283,8,Feb-15,35.37,8.84,24,0,0
161,David Hussey,64,26,52.5,474,8,02-Feb,59.25,8.97,39.62,0,0
162,Mohammad Asif,8,8,32,296,8,Feb-19,37,9.25,24,0,0
163,Makhaya Ntini,9,9,35,242,7,Apr-21,34.57,6.91,30,1,0
164,Kevin Pietersen,36,13,29,215,7,Feb-31,30.71,7.41,24.85,0,0
165,Aavishkar Salvi,7,7,25,200,7,Feb-19,28.57,8,21.42,0,0
166,Shreyas Gopal,6,6,19.1,154,7,Feb-25,22,8.03,16.42,0,0
167,Paul Valthaty,23,10,25.1,205,7,Apr-29,29.28,8.14,21.57,1,0
168,Carlos Brathwaite,8,8,23.1,189,7,Mar-47,27,8.15,19.85,0,0
169,Murugan Ashwin,10,10,28.3,241,7,Mar-36,34.42,8.45,24.42,0,0
170,Abu Nechim,10,10,35.2,303,7,Feb-27,43.28,8.57,30.28,0,0
171,Abhimanyu Mithun,16,16,48,472,7,Feb-37,67.42,9.83,41.14,0,0
172,P Amarnath,6,6,22,236,7,Feb-29,33.71,10.72,18.85,0,0
173,Ben Cutting,5,5,15.1,111,6,Feb-20,18.5,7.31,15.16,0,0
174,Krunal Pandya,12,11,31.1,236,6,Feb-15,39.33,7.57,31.16,0,0
175,Vikramjeet Malik,13,13,34.1,261,6,Feb-14,43.5,7.63,34.16,0,0
176,Suraj Randiv,8,8,29,223,6,Feb-24,37.16,7.68,29,0,0
177,Balachandra Akhil,15,13,31.2,242,6,Feb-17,40.33,7.72,31.33,0,0
178,Tirumalasetti Suman,43,11,25,197,6,Feb-14,32.83,7.88,25,0,0
179,Kuldeep Yadav,3,3,12,100,6,Mar-35,16.66,8.33,12,0,0
180,Shivil Kaushik,7,7,23,192,6,Mar-20,32,8.34,23,0,0
181,Sudeep Tyagi,14,14,34.5,295,6,Feb-18,49.16,8.46,34.83,0,0
182,Siddarth Kaul,11,11,34.5,296,6,Feb-27,49.33,8.49,34.83,0,0
183,RR Raje,10,10,23.1,209,6,Feb-16,34.83,9.02,23.16,0,0
184,Venugopal Rao,65,20,36,337,6,Feb-23,56.16,9.36,36,0,0
185,Jaskaran Singh,8,7,17,171,6,Feb-18,28.5,10.05,17,0,0
186,Virender Sehwag,104,15,22.4,235,6,Feb-18,39.16,10.36,22.66,0,0
187,Paul Collingwood,8,6,14.5,101,5,Feb-19,20.2,6.8,17.8,0,0
188,Nuwan Kulasekara,6,5,17,120,5,02-Oct,24,7.05,20.4,0,0
189,Gurkeerat Mann Singh,28,6,13,97,5,Feb-15,19.4,7.46,15.6,0,0
190,Shoaib Akhtar,3,3,7,54,5,04-Nov,10.8,7.71,8.4,1,0
191,Shrikant Wagh,8,8,17,137,5,Mar-16,27.4,8.05,20.4,0,0
192,Raiphi Gomez,13,9,16,129,5,Feb-14,25.8,8.06,19.2,0,0
193,Tillakaratne Dilshan,52,25,45.1,366,5,01-Jul,73.2,8.1,54.2,0,0
194,Jason Holder,11,11,36,306,5,Feb-20,61.2,8.5,43.2,0,0
195,Marchant de Lange,5,5,18,169,5,Mar-34,33.8,9.38,21.6,0,0
196,Sarabjit Ladda,9,9,23,224,5,Feb-44,44.8,9.73,27.6,0,0
197,Corey Anderson,16,11,22,217,5,Feb-18,43.4,9.86,26.4,0,0
198,Aditya Dole,3,3,11,112,5,Feb-36,22.4,10.18,13.2,0,0
199,Rahul Shukla,7,7,20,208,5,Feb-28,41.6,10.4,24,0,0
200,Sumit Narwal,7,6,17.4,202,5,Mar-36,40.4,11.43,21.2,0,0
201,Jayant Yadav,8,8,24,154,4,01-Aug,38.5,6.41,36,0,0
202,Domnic Joseph,6,6,14,101,4,Feb-18,25.25,7.21,21,0,0
203,DP Vijaykumar,9,9,25.2,199,4,Jan-17,49.75,7.85,38,0,0
204,D du Preez,2,2,7,56,4,Mar-32,14,8,10.5,0,0
205,Deepak Hooda,31,13,28.1,226,4,Feb-16,56.5,8.02,42.25,0,0
206,WA Mota,12,7,12,97,4,01-Jun,24.25,8.08,18,0,0
207,Parveez Rasool,11,11,33,271,4,Jan-20,67.75,8.21,49.5,0,0
208,Shikhar Dhawan,113,6,8,66,4,01-Jul,16.5,8.25,12,0,0
209,Shivam Sharma,5,5,19,165,4,Feb-26,41.25,8.68,28.5,0,0
210,P Parameswaran,5,5,15.4,137,4,Feb-20,34.25,8.74,23.5,0,0
211,SB Bangar,12,9,25,219,4,Feb-34,54.75,8.76,37.5,0,0
212,Virat Kohli,139,26,41.5,368,4,Feb-25,92,8.79,62.75,0,0
213,Ankit Rajpoot,6,6,15,133,4,Jan-14,33.25,8.86,22.5,0,0
214,Hardik Pandya,20,18,33.4,329,4,01-Jul,82.25,9.77,50.5,0,0
215,KC Cariappa,6,6,19,187,4,Feb-16,46.75,9.84,28.5,0,0
216,Glenn Maxwell,43,25,35,354,4,01-May,88.5,10.11,52.5,0,0
217,Yogesh Nagar,26,8,11,125,4,Feb-20,31.25,11.36,16.5,0,0
218,Dominic Thornely,6,4,7,40,3,02-Jul,13.33,5.71,14,0,0
219,John Hastings,3,3,9.4,66,3,02-Jun,22,6.82,19.33,0,0
220,SM Harwood,3,3,10,73,3,Feb-25,24.33,7.3,20,0,0
221,JM Kemp,5,5,7.2,54,3,03-Dec,18,7.36,14.66,0,0
222,Rahul Tewatia,4,4,12,90,3,Jan-17,30,7.5,24,0,0
223,Ashok Menaria,29,12,18.2,144,3,Feb-20,48,7.85,36.66,0,0
224,Doug Bracewell,1,1,4,32,3,Mar-32,10.66,8,8,0,0
225,Pradeep Sahu,5,5,17.3,146,3,Feb-18,48.66,8.34,35,0,0
226,Robin Peterson,5,4,8,70,3,Mar-37,23.33,8.75,16,0,0
227,Tabraiz Shamsi,4,4,16,147,3,Jan-21,49,9.18,32,0,0
228,Rajagopal Sathish,34,14,23.1,232,3,01-Nov,77.33,10.01,46.33,0,0
229,Gajendra Singh,4,4,14,141,3,Jan-33,47,10.07,28,0,0
230,Love Ablish,3,3,7,75,3,Feb-17,25,10.71,14,0,0
231,JJ van der Wath,3,3,12,129,3,Feb-49,43,10.75,24,0,0
232,Ryan Ninan,2,2,6,65,3,Feb-31,21.66,10.83,12,0,0
233,Krishmar Santokie,2,2,8,90,3,Feb-50,30,11.25,16,0,0
234,Sachin Baby,15,2,1.4,8,2,0,4,4.8,5,0,0
235,Michael Clarke,6,5,11,67,2,01-Dec,33.5,6.09,33,0,0
236,C Nanda,3,3,8,57,2,01-Apr,28.5,7.12,24,0,0
237,Ryan ten Doeschate,29,10,13,94,2,01-Jul,47,7.23,39,0,0
238,Samuel Badree,5,5,18,131,2,Jan-19,65.5,7.27,54,0,0
239,Scott Boland,2,2,7,54,2,Feb-31,27,7.71,21,0,0
240,Nayan Doshi,4,4,9.2,79,2,Jan-15,39.5,8.46,28,0,0
241,Pat Cummins,4,4,14,126,2,Jan-29,63,9,42,0,0
242,DNT Zoysa,3,3,11,99,2,Jan-30,49.5,9,33,0,0
243,Pawan Suyal,5,5,16,151,2,Jan-21,75.5,9.43,48,0,0
244,Andrew Flintoff,3,3,11,105,2,01-Nov,52.5,9.54,33,0,0
245,Siddharth Chitnis,11,2,6,60,2,Feb-40,30,10,18,0,0
246,Shoaib Malik,7,5,8.3,85,2,01-Jun,42.5,10,25.5,0,0
247,MA Khote,4,2,5,51,2,Feb-29,25.5,10.2,15,0,0
248,Luke Wright,7,6,11.5,124,2,01-Dec,62,10.47,35.5,0,0
249,D Kalyankrishna,3,3,8,87,2,Jan-30,43.5,10.87,24,0,0
250,Amit Uniyal,2,2,6,66,2,Feb-41,33,11,18,0,0
251,Kyle Abbott,5,5,16,177,2,Jan-38,88.5,11.06,48,0,0
252,Adam Gilchrist,80,1,0.1,0,1,1/0,0,0,1,0,0
253,Mohammad Hafeez,8,2,5,24,1,01-Aug,24,4.8,30,0,0
254,Ajinkya Rahane,95,1,1,5,1,0,5,5,6,0,0
255,LA Carseldine,5,1,1,6,1,0,6,6,6,0,0
256,SS Mundhe,1,1,1,6,1,01-Jun,6,6,6,0,0
257,Hanuma Vihari,22,5,6,38,1,01-May,38,6.33,36,0,0
258,T Henderson,2,2,6,40,1,Jan-30,40,6.66,36,0,0
259,GR Napier,1,1,4,27,1,Jan-27,27,6.75,24,0,0
260,Jeevan Mendis,3,2,5,36,1,Jan-16,36,7.2,30,0,0
261,Mandeep Singh,59,1,3,23,1,0,23,7.66,18,0,0
262,PM Sarvesh Kumar,2,2,5,42,1,Jan-18,42,8.4,30,0,0
263,Harmeet Singh,1,1,4,34,1,Jan-34,34,8.5,24,0,0
264,Clint McKay,2,2,7,60,1,Jan-36,60,8.57,42,0,0
265,SB Joshi,4,4,9.1,82,1,Jan-27,82,8.94,55,0,0
266,Abhishek Jhunjhunwala,21,10,14.1,129,1,Jan-13,129,9.1,85,0,0
267,Dwaraka Ravi Teja,32,2,3,28,1,0,28,9.33,18,0,0
268,Aaron Finch,52,5,7.1,67,1,01-Nov,67,9.34,43,0,0
269,Dinesh Salunkhe,6,5,7.5,78,1,Jan-21,78,9.95,47,0,0
270,Ashley Noffke,1,1,4,40,1,Jan-40,40,10,24,0,0
271,Jimmy Neesham,4,4,9,91,1,Jan-29,91,10.11,54,0,0
272,Ronit More,2,2,5.5,59,1,Jan-31,59,10.11,35,0,0
273,Ben Laughlin,2,2,7,71,1,Jan-25,71,10.14,42,0,0
274,Gurinder Sandhu,3,2,8,82,1,Jan-33,82,10.25,48,0,0
275,Andre Nel,1,1,3,31,1,Jan-31,31,10.33,18,0,0
276,Akshath Reddy,12,1,3,32,1,0,32,10.66,18,0,0
277,Adam Milne,1,1,4,43,1,Jan-43,43,10.75,24,0,0
278,S Vidyut,9,1,2,22,1,0,22,11,12,0,0
279,Lendl Simmons,22,1,3,34,1,0,34,11.33,18,0,0
280,Brett Geeves,2,2,8,91,1,Jan-50,91,11.37,48,0,0
281,TP Sudhindra,3,3,11.4,136,1,Jan-46,136,11.65,70,0,0
282,Manoj Tiwary,78,5,6,73,1,0,73,12.16,36,0,0
283,Cameron White,47,6,7,86,1,Jan-14,86,12.28,42,0,0
284,Shardul Thakur,1,1,3,38,1,Jan-38,38,12.66,18,0,0
285,Nitish Rana,4,1,1,3,0,0,0,3,0,0,0
286,Mithun Manhas,55,3,7,42,0,0,0,6,0,0,0
287,Nathan Rimmington,1,1,3,19,0,0,0,6.33,0,0,0
288,Sachin Rana,11,3,2.4,18,0,0,0,6.75,0,0,0
289,Nathan McCullum,2,2,5,34,0,0,0,6.8,0,0,0
290,Kane Williamson,8,1,1,7,0,0,0,7,0,0,0
291,Y Gnaneswara Rao,2,1,1,7,0,0,0,7,0,0,0
292,Ambati Rayudu,109,1,3,22,0,0,0,7.33,0,0,0
293,Colin Munro,4,2,2,15,0,0,0,7.5,0,0,0
294,RS Gavaskar,2,1,1,8,0,0,0,8,0,0,0
295,Suryakumar Yadav,45,1,1,8,0,0,0,8,0,0,0
296,Abhishek Raut,22,6,7,57,0,0,0,8.14,0,0,0
297,Murali Vijay,100,4,6,49,0,0,0,8.16,0,0,0
298,Deepak Chahar,2,2,5,41,0,0,0,8.2,0,0,0
299,Adam Voges,9,7,9,76,0,0,0,8.44,0,0,0
300,K Goel,22,6,11,93,0,0,0,8.45,0,0,0
301,Daniel Harris,4,2,3,26,0,0,0,8.66,0,0,0
302,Krishnakant Upadhyay,3,3,9,81,0,0,0,9,0,0,0
303,Swapnil Singh,1,1,3,29,0,0,0,9.66,0,0,0
304,Sachin Tendulkar,78,4,6,58,0,0,0,9.66,0,0,0
305,Asad Pathan,8,3,6.3,63,0,0,0,9.69,0,0,0
306,Faiz Fazal,12,2,2,20,0,0,0,10,0,0,0
307,Kemar Roach,2,2,8,80,0,0,0,10,0,0,0
308,Abrar Kazi,1,1,2,21,0,0,0,10.5,0,0,0
309,RA Shaikh,1,1,1,11,0,0,0,11,0,0,0
310,Sean Abbott,2,2,5,57,0,0,0,11.4,0,0,0
311,VS Yeligati,2,2,5,59,0,0,0,11.8,0,0,0
312,Ben Rohrer,8,1,1,12,0,0,0,12,0,0,0
313,Ross Taylor,55,2,2,24,0,0,0,12,0,0,0
314,RR Bose,1,1,2,24,0,0,0,12,0,0,0
315,C Ganapathy,1,1,1,13,0,0,0,13,0,0,0
316,Abdur Razzak,1,1,2,29,0,0,0,14.5,0,0,0
317,Mashrafe Mortaza,1,1,4,58,0,0,0,14.5,0,0,0
318,Steve Smith,54,1,0.2,5,0,0,0,15,0,0,0
319,Michael Neser,1,1,4,62,0,0,0,15.5,0,0,0
320,Sunny Gupta,1,1,3,47,0,0,0,15.66,0,0,0
321,Francois du Plessis,51,1,1,16,0,0,0,16,0,0,0
322,S Sriram,2,2,3,49,0,0,0,16.33,0,0,0
323,Chamara Kapugedera,5,3,2.5,49,0,0,0,17.29,0,0,0
324,Raju Bhatkal,1,1,2,35,0,0,0,17.5,0,0,0
325,P Prasanth,1,1,1,18,0,0,0,18,0,0,0
326,Vijay Shankar,1,1,1,19,0,0,0,19,0,0,0
327,Bharat Chipli,23,1,1,20,0,0,0,20,0,0,0
328,LPC Silva,3,1,1,21,0,0,0,21,0,0,0
329,I Malhotra,1,1,1,23,0,0,0,23,0,0,0
